,Root,ProcessingDepth,FileDirPath,FileDirDepth,FileName,ExifArgs,DestRoot,FilePath,Size,ModifiedAt,InodeDev,Inode,CacheKey
5830,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.3.3 091102_Framework Agt Appendix 6A Confidentiality Agreement Supplier.doc,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.3.3 091102_Framework Agt Appendix 6A Confidentiality Agreement Supplier.doc,50176,1507811950.0,6985672059403080448,281474976744143,f2baad8b61c7687fc1beb8748ce1031e
5831,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.3.4 091102_Framework Services Agreement.doc,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.3.4 091102_Framework Services Agreement.doc,170496,1507811950.0,6985672059403080448,281474976744144,e7b258eba635cd98048e4a3571b438ef
5832,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.3.5 091102_Framwork Agt Appendix 6B Format of Confidentiality Undertaking Supplier Employees.doc,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.3.5 091102_Framwork Agt Appendix 6B Format of Confidentiality Undertaking Supplier Employees.doc,62464,1507811950.0,6985672059403080448,281474976744145,c2e9bc46685bca9bb7f10382c9784fce
5833,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.3.6 091110_Framework Agt Appendix 3 Skill Matrix and Daily Rates.doc,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.3.6 091110_Framework Agt Appendix 3 Skill Matrix and Daily Rates.doc,66560,1507811950.0,6985672059403080448,281474976744146,7f1fc0070543645883520ef15dfe447b
5834,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.3.7.1 Unafortis - SO-Dominic Kurmann - 01.12.2016-30.11.2017 signed.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.3.7.1 Unafortis - SO-Dominic Kurmann - 01.12.2016-30.11.2017 signed.pdf,1010388,1507811964.0,6985672059403080448,281474976744147,64b2eb63efe2946ce9b63d2df987b3be
5835,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.3.7.2 Vertrag RBS_Services FAIS PMS 01.09.2016 MAIN SOW.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.3.7.2 Vertrag RBS_Services FAIS PMS 01.09.2016 MAIN SOW.pdf,1424566,1511871876.0,6985672059403080448,281474976744148,612aa7515e26522485ae5f9b4f939fae
5836,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.3.7.2 Vertrag RBS_Services FAIS PMS 01.09.2016.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.3.7.2 Vertrag RBS_Services FAIS PMS 01.09.2016.pdf,1424566,1507811964.0,6985672059403080448,281474976744149,f174e9c5a9cad86f1337bcab78d7d753
5837,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.3.7.3 Vertrag Nachtrag 1 RBS_Services FAIS PMS 01.09.2016.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.3.7.3 Vertrag Nachtrag 1 RBS_Services FAIS PMS 01.09.2016.pdf,559734,1507811964.0,6985672059403080448,281474976744150,723cc8948ac66079f9dc2052f1477a9c
5838,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.3.8 2010.08.16 RBS MAS Page 6-10.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.3.8 2010.08.16 RBS MAS Page 6-10.pdf,3704216,1507811950.0,6985672059403080448,281474976744151,b0d64bc50372b06dfdf7f8b46b8e69e1
5839,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.3.9 2010.08.16 RBS MAS Page 11-18.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.3.9 2010.08.16 RBS MAS Page 11-18.pdf,6753740,1507811952.0,6985672059403080448,281474976744152,167635cb5fdaed4087e980dfbe9a3a1a
5840,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.4.1 Standard Agreement HSBC.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.4.1 Standard Agreement HSBC.pdf,1086155,1507811958.0,6985672059403080448,281474976744153,d1fb4ca3e553e3bc4b5f0478dea815b4
5841,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.4.2.1 SOW Unafortis 1 201702_06.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.4.2.1 SOW Unafortis 1 201702_06.pdf,851135,1507811964.0,6985672059403080448,281474976744154,20bd0a4a72aaf65ae59fc4153e867864
5842,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.4.2.2 SOW Unafortis 2 201702_06.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.4.2.2 SOW Unafortis 2 201702_06.pdf,979934,1507811964.0,6985672059403080448,281474976744155,f52a6c7156768c87d3f669b742935820
5843,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.5.2.1 RCH2011.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.5.2.1 RCH2011.pdf,514538,1507811962.0,6985672059403080448,281474976744156,030102ffd7370e3585e63931bf827668
5844,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.5.2.2.1 RCH2008.pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.5.2.2.1 RCH2008.pdf,738957,1507811962.0,6985672059403080448,281474976744157,acd299d8bbb4c40f1d3c367eac2a94b8
5845,D:\HDD Data,5,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder,4,3.14.5.2.3 RCH2011 (all pages).pdf,-j-G-all--File:Directory,D:\MyOrganizedFiles,D:\HDD Data\Luxoft\Unafortis contracts\Unafortis contracts\Clients contracts in one folder\3.14.5.2.3 RCH2011 (all pages).pdf,1068039,1507811962.0,6985672059403080448,281474976744158,6bc663ed1ae8343543300cc2362c7d22
